Gene	Tissues	Function	Cluster
MYC	Autonomic Ganglia	Oncogene: DNA-binding TF, cell cycle	1
TAF5L	Central Nervous System	DNA-binding TF, promoter TATA	1
EP300	Lung, Pancreas	Tumor Suppressor: histone acetyltransferase	2
TADA2B	Kidney	Transcription activation	2
MED1	Soft Tissue	Transcription activation	2
SCAP	Autonomic Ganglia	Protein-containing complex binding, cholesterol presence	3
ATP1A1	Autonomic Ganglia, Pleura	Na+/K+ pump, enzymatic activity	4
CDK6	Bone, Breast, Endometrium, Ovary	Oncogene: kinase	5
GRB2	Skin	Kinase	5
PTEN	Bone, Liver	Tumor Suppressor: protein kinase binding, phosphatase	5
FERMT2	Urinary Tract	Signaling pathways	5
EFR3A	Breast	Binding, PI4K	5
FURIN	Breast	Oncogene: protease	6
PSMB5	Hematopoietic and Lymphoid Tissue	Oncogene: Proteasome	6
VHL	Kidney	Tumor Suppressor: ubiquitin ligase	6
TSC2	Central Nervous System, Thyroid	Tumor Suppressor: mTORC1, cell growth, GTPase activating	7
RB1CC1	Liver	Tumor Suppressor: proliferation	7
PPP2R1A	Stomach	Tumor Suppressor: proliferation 7
KNTC1	Lung	Cell division	7
RB1	Ovary	Tumor Suppressor: cell cycle	7
CDKN1A	Skin	Tumor Suppressor: cell cycle	7
RPL21	Endometrium	Ribosome	8
TYMS	Endometrium	Oncogene: Maintain nucleotides	9
ADSL	Pleura	Nucleotide synthesis	9
CRKL	Hematopoietic and Lymphoid Tissue	Oncogene: RNA binding	10
YRDC	Bone, Central Nervous System, Thyroid	dsRNA binding	10
TP53	Kidney, Ovary, Pleura, Skin, Soft Tissue	Tumor Suppressor: DNA repair	11
GPX4	Large Intestine, Esophagus, Stomach	Protect against oxidative damage, selenoprotein	12
SEPHS2	Stomach, Urinary Tract	Senelide integration	12
CHMP4B	Large Intestine	Endosomes, budding	13
ELMO2	Esophagus	Phagocytosis, migration	13
RAB10	Soft Tissue	Vesicle trafficking	13
NF2	Liver, Thyroid	Tumor Suppressor: scaffold, cytoskeleton	14
ITGAV	Hematopoietic and Lymphoid Tissue, Esophagus, Urinary Tract	Oncogene: integrin cell channels	14
TUBB	Large Intestine	Microtubules	14
RPP25L	Lung	No known function, nucleic acid binding	15
CDAN1	Pancreas	Nuclear envelope	16
PDCD10	Pancreas	Apoptosis	17
