Rank,Module genes,Cancer type,p,FDR
1,"HAND2, INSM2, ISL1, PHOX2B",Autonomic ganglia,7.83E-18,4.10E-14
2,"MITF, SOX10, TFAP2A, ZEB2",Skin,9.08E-18,4.75E-14
3,"HAND2, HDAC2, INSM2, ISL1, TFAP2B",Autonomic ganglia,1.78E-17,4.66E-14
4,"BRAF, MAPK1, MITF, NFATC2, SOX10",Skin,1.91E-17,4.99E-14
5,"BRAF, DUSP4, PEA15, SOX10",Skin,4.71E-17,5.70E-14
6,"BRAF, MAPK1, SOX10, SOX9",Skin,4.71E-17,5.70E-14
7,"ALK, HAND2, INSM2, ISL1, KANK4, KLC1, KLHL1, PHOX2B, RNF2",Autonomic ganglia,5.63E-17,9.13E-14
8,"CRTC2, CRTC3, MAPK1, MITF, MTMR6, NEDD9, PTP4A1, SOX10, TFAP2A, ZEB2",Skin,6.91E-17,5.70E-14
9,"ASB4, BRAF, DUSP4, GPR3, MAPK1, MITF, NAV2, NFATC2, PEA15, SOX10, SOX9",Skin,7.91E-17,5.70E-14
10,"BRAF, DUSP4, LCMT1, MAP2K1, MAPK1, MITF, NFATC2, PEA15, PPM1G, PPP2R2A, SOX10, SOX9",Skin,8.91E-17,5.70E-14
11,"ACTL6A, EHBP1, GATA2, GNAO1, GSE1, HAND2, HDAC2, INSM2, ISL1, LDB1, PHOX2B, STX12, TFAP2B",Autonomic ganglia,9.51E-17,9.13E-14
12,"ACTL6A, CCDC167, EHBP1, GATA2, GNAO1, HAND2, HDAC2, INSM2, ISL1, MEIS2, PBX2, PHOX2B, TFAP2B",Autonomic ganglia,9.51E-17,9.13E-14
13,"BRAF, DUSP4, IGSF11, MAFF, MAP2K1, MAPK1, MITF, NFATC2, PEA15, SOX10, SOX9, TBX2, ZEB2",Skin,9.90E-17,5.70E-14
14,"BRAF, DUSP4, ELAVL1, LCMT1, MAP2K1, MAP2K2, MAPK1, MITF, NFATC2, PEA15, PPP2R2A, SOX10, SOX9",Skin,9.90E-17,5.70E-14
15,"ALK, GATA2, GPR107, HAND2, HDAC2, INSM2, ISL1, MEIS2, PBX1, PBX2, PBX3, PDK1, PHOX2B, TFAP2B",Autonomic ganglia,1.05E-16,9.13E-14
16,"BRAF, DUSP4, DUSP5, ELAVL1, MAFF, MAP2K1, MAPK1, MITF, NFATC2, PEA15, SOX10, SOX9, ZEB2, ZNF592",Skin,1.09E-16,5.70E-14
17,"AADAT, C4orf51, CBR4, CCRN4L, ETFDH, FREM3, GLRA3, HAND2, KLHL2, MAP9, MGARP, NPY1R, UCP1, VEGFC",Autonomic ganglia,2.42E-16,1.61E-13
18,"AADAT, AGA, CASP3, CBR4, CLDN24, ETFDH, GLRA3, HAND2, HPGD, KLHL2, MAP9, MTNR1A, NPY1R, SFRP2, SPATA4, TLR2, VEGFC",Autonomic ganglia,3.00E-16,1.61E-13
19,"AADAT, ALB, ASIC5, CBR4, ETFDH, GALNTL6, GLRA3, HAND2, IL15, KLHL2, MAP9, MTNR1A, NPY1R, SFRP2, SPATA4, TLR2, TMEM192, VEGFC",Autonomic ganglia,3.20E-16,1.61E-13
20,"AADAT, ADAM29, ALB, CBR4, ETFDH, GALNTL6, GLRA3, HAND2, KLHL2, MAP9, MFAP3L, MTNR1A, NPY1R, SPATA4, TKTL2, TLR2, TMEM192, VEGFC",Autonomic ganglia,3.20E-16,1.61E-13
21,"AADAT, ALB, ARFIP1, ASIC5, CASP3, CBR4, CLDN24, ETFDH, GLRA3, HAND2, KLHL2, MAP9, MTNR1A, NPY1R, RNF150, TLR2, TSPAN5, UCP1, VEGFC",Autonomic ganglia,3.39E-16,1.61E-13
22,"ANKRD52, BRAF, CDCA4, CRTC2, CRTC3, CTDSPL2, CYB5R4, DNAJC13, DUSP4, DUSP5, DUSP6, ELAVL1, ETV5, GRB2, LCMT1, LZTR1, MAFF, MAP2K1, MAP2K2, MAPK1, MITF, MTMR6, NEDD9, NF1, NFATC2, PEA15, PPM1A, PPM1G, PPME1, PPP2R2A, PPP2R4, PPP4C, PPP4R2, PPP6C, PPP6R1, PPP6R3, PTP4A1, PTPN11, RAF1, RASA2, RFWD2, RRAS2, SHOC2, SMEK1, SMEK2, SOS1, SOX10, SOX9, SPRED2, TFAP2A, TIPRL, TXN, ZEB2, ZNF592",Skin,5.09E-16,2.42E-13
23,"B3GALT6, B3GAT3, B4GALT7, BRAF, C3orf58, CBL, CCDC6, CDCA4, COG5, CTDSPL2, CYB5R4, DUSP4, DUSP5, DUSP6, EXT1, EXT2, EXTL3, FAM122A, FAM20B, FBXO42, FGFR1, FOSL1, FRS2, GAB1, GLCE, GRB2, HS2ST1, JUN, LCMT1, LZTR1, MAP2K1, MAPK1, MITF, NDST1, NDST2, NEDD4L, NF1, NFATC2, NRAS, PAPSS1, PEA15, PPM1A, PPM1G, PPME1, PPP2CA, PPP2CB, PPP2R1A, PPP2R2A, PPP2R4, PPP4C, PPP4R2, PPP6C, PPP6R3, PTPN11, RAF1, RASA2, RRAS2, SHOC2, SLC10A7, SLC35B2, SLC39A9, SMEK1, SMEK2, SOS1, SOS2, SOX10, SOX9, SPRED1, SPRED2, TIPRL, TM9SF2, TM9SF3, TMEM165, TXN, UGDH, UNC50, XYLT2",Skin,7.39E-16,3.22E-13
24,"ARFRP1, B3GALT6, B3GAT3, B4GALT7, BRAF, C3orf58, CBL, CCDC6, CDCA4, CLEC16A, COG1, COG2, COG3, COG4, COG5, COG6, COG7, COG8, CTDSPL2, CYB5R4, DUSP4, DUSP5, DUSP6, EGFR, ELAVL1, EXT1, EXT2, EXTL3, FAM20B, FBXO42, FGFR1, FOSL1, FRS2, GAB1, GET4, GLCE, GRB2, HS2ST1, JUN, LCMT1, LZTR1, MAP2K1, MAPK1, MITF, NDST1, NDST2, NEDD4L, NF1, NFATC2, NRAS, PAPSS1, PEA15, PPM1A, PPM1G, PPME1, PPP2CA, PPP2R1A, PPP2R2A, PPP2R4, PPP4C, PPP4R2, PPP6C, PPP6R3, PTAR1, PTPN11, RAB1A, RAB1B, RAB2A, RAF1, RASA2, RGP1, RIC1, RRAS2, SHOC2, SLC10A7, SLC35B2, SLC39A9, SMEK1, SMEK2, SOS1, SOS2, SOX10, SOX9, SPRED1, SPRED2, SYS1, TIPRL, TM9SF2, TM9SF3, TMEM165, TRAPPC13, TRIP11, TSSC1, TXN, UGDH, UNC50, VPS51, VPS52, VPS53, VPS54, XYLT2",Skin,9.79E-16,3.94E-13
25,"ACTL6A, ALG9, ARFRP1, ARL1, ARL5B, ASNA1, BNIP1, C19orf25, C19orf70, CCDC115, CLEC16A, CNIH1, COG1, COG2, COG3, COG4, COG5, COG6, COG7, COG8, COPE, CYB561D2, CYB5B, DPM2, EHBP1, ERC1, FAM160B1, GATA2, GDI2, GET4, GOLGA1, GOLGA2, GOLT1B, GOSR2, GPR107, GPR89A, HAND2, HDAC2, IER3IP1, INPP5K, INSM2, ISL1, JTB, MBTPS1, MEIS2, NAPG, NBAS, PDK1, PHOX2B, PI4KB, PTAR1, RAB18, RAB1A, RAB1B, RAB2A, RAB3GAP1, RAB3GAP2, RAB6A, RABIF, RABL3, RGP1, RIC1, RINT1, SAR1A, SCFD1, SCFD2, SCYL1, SEC23IP, SEC31A, SLC10A7, SLC35B2, SLC39A9, STX16, STX18, SURF4, SYS1, SYVN1, TBC1D20, TBC1D23, TFAP2B, TM9SF2, TM9SF3, TMED10, TMED7, TMEM165, TMEM167A, TRAPPC1, TRAPPC11, TRAPPC12, TRAPPC13, TRAPPC2L, TRAPPC4, TRAPPC5, TRAPPC8, TRIP11, TSSC1, UBE2G2, UBE2J1, UBE3D, UNC50, USE1, VPS51, VPS52, VPS53, VPS54, VTI1A, WRB, YIPF5, YKT6, ZFAT, ZW10",Autonomic ganglia,1.04E-15,4.55E-13
