Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,33,0.5003,264.1,2472,0.09426,1.00000,"AS3MT PAX2 FBXL15 CYP17A1 ABCC2 AVPI1 CNNM2 DNMBP DNTT HPS6 ITPRIP MORN4 NT5C2 PCGF6 PITX3 POLL PSD SEMA4G SFXN2 ZFYVE27 KCNIP2 SFRP5 DPCD SFXN3 SLK USMG5 C10orf95 SLC16A12 XPNPEP1 SORCS1 NEURL1 CFAP43 TLX1"
2,4,0.6461,3.876,129.8,0.02736,0.992931,"CCDC122 WBP4 PRDM5 NKTR"
3,29,0.4601,186.8,1813,0.09077,1.00000,"PSG2 ZNF285 ATP1A3 CYP2B6 PSG6 LILRA1 CEACAM3 IFNL2 CEACAM7 PSG1 CYP2A13 ZNF155 ZNF230 ZNF284 PSG5 CEACAM5 PSG3 KCNN4 ZNF233 ZNF780B CEACAM19 CEACAM6 CXCL17 PSG8 PSG11 PSG9 PSG4 CYP2A7 KIR2DL1"
4,57,0.5012,799.9,3881,0.1668,1.00000,"NPFF HOXC11 LACRT DDIT3 STAT6 GLI1 AGAP2 INHBE METTL7B PPP1R1A ANKRD33 OR6C4 SLC39A5 HOXC6 MAP3K12 DHH BCDIN3D CD63 CSAD NXPH4 COQ10A NDUFA4L2 ZBTB39 MYO1A R3HDM2 STAC3 KRT86 HOXC8 CALCOCO1 XRCC6BP1 ZNF385A POU6F1 ARHGAP9 IKZF4 KRT82 MSRB3 DTX3 CELA1 KIF5A SPRYD3 OR2AP1 NFE2 B4GALNT1 SP7 AVIL HOXC10 HOXC5 ITGA7 MARCH9 ORMDL2 OS9 TSPAN31 PDE1B GPR182 OR10P1 NCKAP1L MUCL1"
5,23,0.5023,127.1,1586,0.07224,1.00000,"FAAH PODN B4GALT2 C1orf123 DMRTA2 C1orf87 CYB5RL CTH HOOK1 CCDC17 LURAP1 MROH7 C1orf177 SLC1A7 PCSK9 RAB3B ZYG11B TMEM61 MUTYH TCTEX1D4 BSND GPX7 TMEM53"
6,88,0.4308,1649,5366,0.2293,1.00000,"LRRC36 RANBP10 RRAD KIAA0895L HSD11B2 CES5A DPEP2 FBXL8 TSNAXIP1 WWP2 NRN1L CA7 MT4 E2F4 MLKL B3GNT9 ADAT1 ABCC12 AGRP CCDC135 CDH16 CETP CKLF CPNE2 GLG1 GPR114 NLRC5 PDP2 PLLP TEPP TK2 C16orf70 CES1 CES3 CES4A CLEC18C CMTM1 GPR56 GPR97 LDHD MTSS1L PLEKHG4 PSMB10 TMED6 ZDHHC1 ZNF19 ZNF319 CALB2 CMTM2 CTRB1 CTRB2 CCDC113 CHST6 EXOC3L1 IL34 CCDC102A FA2H RLTPR ZNF23 CES2 PARD6A FHOD1 SLC12A4 CHST4 PHLPP2 DUS2 LCAT HSF4 MMP15 ST3GAL2 CHST5 CDH5 SLC9A5 BEAN1 CLEC18B DPEP3 ENKD1 LRRC29 PDPR TERF2IP GFOD2 TRADD PLA2G15 PDF C16orf86 CDH11 SMPD3 TPPP3"
7,10,0.5131,23.09,656.1,0.03302,0.999933,"RAD51AP2 C2orf71 THUMPD2 DHX57 GALM ZNF512 VSNL1 HNRNPLL TMEM214 STRN"
8,7,0.5153,10.82,441.3,0.02321,0.999299,"KCNJ3 SLC9A2 TBC1D8 NCK2 TMEM163 CFAP221 IL1R2"
9,52,0.4706,624.0,3708,0.1407,1.00000,"ITPKC ZNF285 PPP1R37 ZNF229 ATP1A3 PVRL2 CEACAM4 CNFN RABAC1 APOC4 SRRM5 CYP2B6 PSG6 FOSB APOC2 PINLYP IGSF23 SPTBN4 CCDC61 ZNF45 GRIK5 EML2 CEACAM7 CYP2A13 RSPH6A KLC3 RTN2 FOXA3 ETHE1 ARHGEF1 ZNF155 ZNF230 ZNF284 FBXO46 LYPD4 ZNF180 APOE CBLC ZNF296 DMRTC2 CEACAM5 KCNN4 PHLDB3 ZNF780B CEACAM19 LIPE CEACAM6 CEACAM16 ZNF222 CXCL17 PSG8 PSG11"
10,52,0.4322,573.0,2778,0.1659,1.00000,"A1CF ALOX5 ANTXRL ASAH2 C10orf25 C10orf53 CHAT DKK1 ERCC6 FAM21C FAM35A GPRIN2 LRRC18 MSMB MTRNR2L5 NPY4R NUTM2A OGDHL PHYHIPL RET RTKN2 SGMS1 SLC16A9 SLC18A3 SYT15 TMEM72 ZFAND4 ZNF239 ZNF33B ZNF32 CXCL12 ZNF22 PTPN20B AGAP6 UBE2D1 ANK3 ZNF485 ANXA7 AIFM2 RBP3 ANXA8 ANXA8L1 PGBD3 NUTM2B GDF2 RASGEF1A AGAP5 OR13A1 ADO C10orf10 AGAP9 FAM170B"
